# mgf_spectrum_id,mgf_inchikey,mgf_smiles,mibig_id,mibig_name,mibig_inchi,mibig_smiles
CCMSLIB00000001552,USXIYWCPCGVOKF-NOENWEJRSA-N,C[C@H]1[C@H](CCCC(C)(Cl)Cl)OC(=O)C2=CSC(=N2)[C@@H](OC(C)=O)C(C)(C)OC(=O)C2=CSC(=N2)[C@@H](OC1=O)C(C)(C)O,BGC0001000,Hectochlorin,USXIYWCPCGVOKF-NOENWEJRSA-N,C[C@H]1[C@H](CCCC(C)(Cl)Cl)OC(=O)C2=CSC(=N2)[C@@H](OC(C)=O)C(C)(C)OC(=O)C2=CSC(=N2)[C@@H](OC1=O)C(C)(C)O
CCMSLIB00003741080,XWIYFDMXXLINPU-UHFFFAOYSA-N,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,BGC0000006,aflatoxin,XWIYFDMXXLINPU-UHFFFAOYSA-N,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1
CCMSLIB00003741080,XWIYFDMXXLINPU-UHFFFAOYSA-N,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,BGC0000007,aflatoxin,XWIYFDMXXLINPU-UHFFFAOYSA-N,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1
CCMSLIB00003741080,XWIYFDMXXLINPU-UHFFFAOYSA-N,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,BGC0000008,aflatoxin,XWIYFDMXXLINPU-UHFFFAOYSA-N,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1
CCMSLIB00003741080,XWIYFDMXXLINPU-UHFFFAOYSA-N,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,BGC0000009,aflatoxin,XWIYFDMXXLINPU-UHFFFAOYSA-N,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1
CCMSLIB00003741080,XWIYFDMXXLINPU-UHFFFAOYSA-N,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,BGC0000010,aflatoxin,XWIYFDMXXLINPU-UHFFFAOYSA-N,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1
CCMSLIB00004679204,CUOJDWBMJMRDHN-UHFFFAOYSA-N,CCCCCCCCCCCCCC(CC(=O)NC(CCC(=O)O)C(=O)NC(CCCN)C(=O)NC1CC2=CC=C(C=C2)OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C3CCCN3C(=O)C(NC(=O)C(NC(=O)C(NC1=O)C(C)O)CCC(=O)O)C)CCC(=O)N)CC4=CC=C(C=C4)O)C(C)CC)O,BGC0000407,plipastatin,CUOJDWBMJMRDHN-UHFFFAOYSA-N,CCCCCCCCCCCCCC(CC(=O)NC(CCC(=O)O)C(=O)NC(CCCN)C(=O)NC1CC2=CC=C(C=C2)OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C3CCCN3C(=O)C(NC(=O)C(NC(=O)C(NC1=O)C(C)O)CCC(=O)O)C)CCC(=O)N)CC4=CC=C(C=C4)O)C(C)CC)O
CCMSLIB00004679205,CUOJDWBMJMRDHN-UHFFFAOYSA-N,CCCCCCCCCCCCCC(CC(=O)NC(CCC(=O)O)C(=O)NC(CCCN)C(=O)NC1CC2=CC=C(C=C2)OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C3CCCN3C(=O)C(NC(=O)C(NC(=O)C(NC1=O)C(C)O)CCC(=O)O)C)CCC(=O)N)CC4=CC=C(C=C4)O)C(C)CC)O,BGC0000407,plipastatin,CUOJDWBMJMRDHN-UHFFFAOYSA-N,CCCCCCCCCCCCCC(CC(=O)NC(CCC(=O)O)C(=O)NC(CCCN)C(=O)NC1CC2=CC=C(C=C2)OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C3CCCN3C(=O)C(NC(=O)C(NC(=O)C(NC1=O)C(C)O)CCC(=O)O)C)CCC(=O)N)CC4=CC=C(C=C4)O)C(C)CC)O
CCMSLIB00004679278,RHMXXJGYXNZAPX-UHFFFAOYSA-N,CC1=CC(=C2C(=C1)C(=O)C3=CC(=CC(=C3C2=O)O)O)O,BGC0000101,emodin,RHMXXJGYXNZAPX-UHFFFAOYSA-N,CC1=CC(=C2C(=C1)C(=O)C3=CC(=CC(=C3C2=O)O)O)O
CCMSLIB00004679278,RHMXXJGYXNZAPX-UHFFFAOYSA-N,CC1=CC(=C2C(=C1)C(=O)C3=CC(=CC(=C3C2=O)O)O)O,BGC0001583,emodin,RHMXXJGYXNZAPX-UHFFFAOYSA-N,CC1=CC(=C2C(=C1)C(=O)C3=CC(=CC(=C3C2=O)O)O)O
CCMSLIB00004679298,AFOLBAYDTRBYBA-UHFFFAOYSA-N,CCCCCCCCCCCC(O)CC(NC(C(NC(C(NC1C(C)OC(C(C(C)C)NC(C(CO)NC(C(CC(C)C)NC(C(CC(C)C)NC(C(CO)NC(C(CC(C)C)NC(C(C(CC)C)NC1=O)=O)=O)=O)=O)=O)=O)=O)=O)CCC(O)=O)=O)CC(C)C)=O,BGC0000399,Orfamide A,AFOLBAYDTRBYBA-MAUDZENVSA-N,CCCCCCCCCCCC(O)CC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(O)=O)C(=O)N[C@@H]1[C@@H](C)OC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](NC1=O)C(C)CC)C(C)C
CCMSLIB00004679299,FPMIEPCWEZBKGP-UHFFFAOYSA-N,CCCCCCCCCCCC(O)CC(NC(C(NC(C(NC1C(C)OC(C(C(C)C)NC(C(CO)NC(C(CC(C)C)NC(C(CC(C)C)NC(C(CO)NC(C(CC(C)C)NC(C(C(C)C)NC1=O)=O)=O)=O)=O)=O)=O)=O)=O)CCC(O)=O)=O)CC(C)C)=O,BGC0000398,Orfamide B,FPMIEPCWEZBKGP-UHFFFAOYSA-N,CCCCCCCCCCCC(O)CC(=O)NC(CC(C)C)C(=O)NC(CCC(O)=O)C(=O)NC1C(C)OC(=O)C(NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(NC1=O)C(C)C)C(C)C
CCMSLIB00004679300,STDTUHSFISWYFO-UHFFFAOYSA-N,CCCCCCCCCC(O)CC(NC(C(NC(C(NC1C(C)OC(C(C(C)C)NC(C(CO)NC(C(CC(C)C)NC(C(CC(C)C)NC(C(CO)NC(C(CC(C)C)NC(C(C(CC)C)NC1=O)=O)=O)=O)=O)=O)=O)=O)=O)CCC(O)=O)=O)CC(C)C)=O,BGC0000399,Orfamide C,STDTUHSFISWYFO-UHFFFAOYSA-N,CCCCCCCCCC(O)CC(=O)NC(CC(C)C)C(=O)NC(CCC(O)=O)C(=O)NC1C(C)OC(=O)C(NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(NC1=O)C(C)CC)C(C)C
CCMSLIB00004680094,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,O=C1N[C@@H]2[C@@H](SC[C@@H]2N1)CCCCC(=O)O,BGC0001238,Biotin,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12
CCMSLIB00004680094,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,O=C1N[C@@H]2[C@@H](SC[C@@H]2N1)CCCCC(=O)O,BGC0001239,biotin,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2
CCMSLIB00004681482,YNCMLFHHXWETLD-UHFFFAOYSA-N,CN1C2=CC=CC=C2N=C3C1=CC=CC3=O,BGC0000936,Pyocyanine,YNCMLFHHXWETLD-UHFFFAOYSA-N,CN1C2=CC=CC=C2N=C2C(=O)C=CC=C12
CCMSLIB00004681484,LINOMUASTDIRTM-UHFFFAOYSA-N,CC1=CC2C(C(C1=O)O)(C3(CC(C(C34CO4)O2)O)C)CO,BGC0001277,Vomitoxin,LINOMUASTDIRTM-LZTLOYDTSA-N,[H][C@@]12O[C@]3([H])C=C(C)C(=O)[C@@H](O)[C@]3(CO)[C@@](C)(C[C@H]1O)[C@@]21CO1
CCMSLIB00004681484,LINOMUASTDIRTM-UHFFFAOYSA-N,CC1=CC2C(C(C1=O)O)(C3(CC(C(C34CO4)O2)O)C)CO,BGC0001278,deoxynivalenol,LINOMUASTDIRTM-QGRHZQQGSA-N,CC1=C[C@@H]2[C@]([C@@H](C1=O)O)([C@]3(C[C@H]([C@H]([C@@]34CO4)O2)O)C)CO
CCMSLIB00004681488,BXFOFFBJRFZBQZ-UHFFFAOYSA-N,CC1=CC2C(CC1OC(=O)CC(C)C)(C3(C(C(C(C34CO4)O2)O)OC(=O)C)C)COC(=O)C,BGC0000930,trichothecene,BXFOFFBJRFZBQZ-JCJSGGDISA-N,CC1=CC2C(C[C@@H]1OC(=O)CC(C)C)(C3([C@@H]([C@H](C(C34CO4)O2)O)OC(=O)C)C)COC(=O)C
CCMSLIB00004681488,BXFOFFBJRFZBQZ-UHFFFAOYSA-N,CC1=CC2C(CC1OC(=O)CC(C)C)(C3(C(C(C(C34CO4)O2)O)OC(=O)C)C)COC(=O)C,BGC0000931,trichothecene,BXFOFFBJRFZBQZ-JCJSGGDISA-N,CC1=CC2C(C[C@@H]1OC(=O)CC(C)C)(C3([C@@H]([C@H](C(C34CO4)O2)O)OC(=O)C)C)COC(=O)C
CCMSLIB00004681488,BXFOFFBJRFZBQZ-UHFFFAOYSA-N,CC1=CC2C(CC1OC(=O)CC(C)C)(C3(C(C(C(C34CO4)O2)O)OC(=O)C)C)COC(=O)C,BGC0001277,T-2 Toxin,BXFOFFBJRFZBQZ-FHAHJZMBSA-N,CC1=C[C@@H]2[C@](C[C@@H]1OC(=O)CC(C)C)([C@]3([C@@H]([C@H]([C@H]([C@]34CO4)O2)O)OC(=O)C)C)COC(=O)C
CCMSLIB00004681488,BXFOFFBJRFZBQZ-UHFFFAOYSA-N,CC1=CC2C(CC1OC(=O)CC(C)C)(C3(C(C(C(C34CO4)O2)O)OC(=O)C)C)COC(=O)C,BGC0001278,T-2 Toxin,BXFOFFBJRFZBQZ-FHAHJZMBSA-N,CC1=C[C@@H]2[C@](C[C@@H]1OC(=O)CC(C)C)([C@]3([C@@H]([C@H]([C@H]([C@]34CO4)O2)O)OC(=O)C)C)COC(=O)C
CCMSLIB00004681489,UVBUBMSSQKOIBE-UHFFFAOYSA-N,CCCCC(C)C(C(CC(C)CC(CCCCC(CC(C(C)N)O)O)O)OC(=O)CC(CC(=O)O)C(=O)O)OC(=O)CC(CC(=O)O)C(=O)O,BGC0000062,Fumonisin B1,UVBUBMSSQKOIBE-NDFMDLIYSA-N,CCCC[C@@H](C)[C@@H](OC(=O)C[C@H](CC(O)=O)C(O)=O)[C@H](C[C@@H](C)C[C@H](O)CCCC[C@@H](O)C[C@H](O)[C@H](C)N)OC(=O)C[C@H](CC(O)=O)C(O)=O
CCMSLIB00004681489,UVBUBMSSQKOIBE-UHFFFAOYSA-N,CCCCC(C)C(C(CC(C)CC(CCCCC(CC(C(C)N)O)O)O)OC(=O)CC(CC(=O)O)C(=O)O)OC(=O)CC(CC(=O)O)C(=O)O,BGC0000063,fumonisin,UVBUBMSSQKOIBE-UHFFFAOYSA-N,CCCCC(C)C(C(CC(C)CC(CCCCC(CC(C(C)N)O)O)O)OC(=O)CC(CC(=O)O)C(=O)O)OC(=O)CC(CC(=O)O)C(=O)O
CCMSLIB00004721935,RAGFPHFDFVNLCG-OKNUHWCXSA-N,[H][C@]1(CC(/C=C/C)=CN21)C(O)NC3=C(O)C(C)=C(O[C@@H]4O[C@@H](C)[C@H](NC)[C@@](C)(O)[C@H]4O)C=C3C2=O,BGC0000428,Sibiromycin,RAGFPHFDFVNLCG-INYQBOQCSA-N,CN[C@H]1[C@H](C)O[C@@H](OC2=CC3=C(N[C@H](O)[C@@H]4CC(\C=C\C)=CN4C3=O)C(O)=C2C)[C@H](O)[C@]1(C)O
CCMSLIB00004721938,OJMMVQQUTAEWLP-RLXLMRCASA-N,O[C@@H]1[C@@H](O)[C@@H](SC)O[C@@]([C@@](NC([C@@H]2C[C@@H](CCC)CN2C)=O)([H])[C@H](O)C)([H])[C@@H]1O,BGC0000907,lincomycin,OJMMVQQUTAEWLP-KIDUDLJLSA-N,CCC[C@@H]1C[C@@H](C(N[C@H]([C@H](O)C)[C@@H]2[C@H](O)[C@H](O)[C@@H](O)[C@@H](SC)O2)=O)N(C)C1
CCMSLIB00004721939,OQMYRVPMCIOFHL-SXAOPLEXSA-N,[H][C@]1(CC(/C=C/C(N(C)C)=O)=CN21)C(O)NC3=C(OC)C=CC=C3C2=O,BGC0000409,Porothramycin A,OQMYRVPMCIOFHL-UHFFFAOYSA-N,COC1=CC=CC2=C1NC(O)C1CC(C=CC(=O)N(C)C)=CN1C2=O
CCMSLIB00004721991,XAPNKXIRQFHCHN-QGOAFFKASA-N,C1=CC=C2C(=C1)C(=C3C=C(NC3=O)C4=CNC5=C4C=C(C=C5)O)C(=O)N2,BGC0000828,Violacein,XAPNKXIRQFHCHN-UHFFFAOYSA-N,OC1=CC2=C(NC=C2C2=CC(C(=O)N2)=C2C(=O)NC3=C2C=CC=C3)C=C1
CCMSLIB00004721991,XAPNKXIRQFHCHN-QGOAFFKASA-N,C1=CC=C2C(=C1)C(=C3C=C(NC3=O)C4=CNC5=C4C=C(C=C5)O)C(=O)N2,BGC0000830,Violacein,XAPNKXIRQFHCHN-UHFFFAOYSA-N,OC1=CC2=C(NC=C2C2=CC(C(=O)N2)=C2C(=O)NC3=C2C=CC=C3)C=C1
CCMSLIB00004721991,XAPNKXIRQFHCHN-QGOAFFKASA-N,C1=CC=C2C(=C1)C(=C3C=C(NC3=O)C4=CNC5=C4C=C(C=C5)O)C(=O)N2,BGC0000831,violacein,XAPNKXIRQFHCHN-QGOAFFKASA-N,C1=CC=C2C(=C1)/C(=C\3/C=C(NC3=O)C4=CNC5=C4C=C(C=C5)O)/C(=O)N2
CCMSLIB00004721992,XAPNKXIRQFHCHN-QGOAFFKASA-N,C1=CC=C2C(=C1)C(=C3C=C(NC3=O)C4=CNC5=C4C=C(C=C5)O)C(=O)N2,BGC0000828,Violacein,XAPNKXIRQFHCHN-UHFFFAOYSA-N,OC1=CC2=C(NC=C2C2=CC(C(=O)N2)=C2C(=O)NC3=C2C=CC=C3)C=C1
CCMSLIB00004721992,XAPNKXIRQFHCHN-QGOAFFKASA-N,C1=CC=C2C(=C1)C(=C3C=C(NC3=O)C4=CNC5=C4C=C(C=C5)O)C(=O)N2,BGC0000830,Violacein,XAPNKXIRQFHCHN-UHFFFAOYSA-N,OC1=CC2=C(NC=C2C2=CC(C(=O)N2)=C2C(=O)NC3=C2C=CC=C3)C=C1
CCMSLIB00004721992,XAPNKXIRQFHCHN-QGOAFFKASA-N,C1=CC=C2C(=C1)C(=C3C=C(NC3=O)C4=CNC5=C4C=C(C=C5)O)C(=O)N2,BGC0000831,violacein,XAPNKXIRQFHCHN-QGOAFFKASA-N,C1=CC=C2C(=C1)/C(=C\3/C=C(NC3=O)C4=CNC5=C4C=C(C=C5)O)/C(=O)N2
CCMSLIB00004746755,ZRJBHWIHUMBLCN-UHFFFAOYSA-N,CC=C1C2CC3=C(C1(CC(=C2)C)N)C=CC(=O)N3,BGC0000812,Huperzine A,ZRJBHWIHUMBLCN-UHFFFAOYSA-N,CC=C1C2CC3=C(C=CC(O)=N3)C1(N)CC(C)=C2
CCMSLIB00005434466,HZZVJAQRINQKSD-PBFISZAISA-N,C1C2N(C1=O)C(C(=CCO)O2)C(=O)O,BGC0000841,Clavulanic acid,HZZVJAQRINQKSD-INJCQMSSSA-N,OC\C=C1\O[C@@H]2CC(=O)N2[C@H]1C(O)=O
CCMSLIB00005434466,HZZVJAQRINQKSD-PBFISZAISA-N,C1C2N(C1=O)C(C(=CCO)O2)C(=O)O,BGC0000844,Clavulanic acid,HZZVJAQRINQKSD-INJCQMSSSA-N,OC\C=C1\O[C@@H]2CC(=O)N2[C@H]1C(O)=O
CCMSLIB00005434466,HZZVJAQRINQKSD-PBFISZAISA-N,C1C2N(C1=O)C(C(=CCO)O2)C(=O)O,BGC0000845,clavulanic acid,HZZVJAQRINQKSD-PBFISZAISA-N,C1[C@@H]2N(C1=O)[C@H](/C(=C/CO)/O2)C(=O)O
CCMSLIB00005435663,PCZOHLXUXFIOCF-BXMDZJJMSA-N,O=C(O[C@@H]1[C@H]3C(=C/[C@H](C)C1)\C=C/[C@@H]([C@@H]3CC[C@H]2OC(=O)C[C@H](O)C2)C)[C@@H](C)CC,BGC0000088,Monacolin K,PCZOHLXUXFIOCF-YPQFMRJXSA-N,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@H](C)CC
CCMSLIB00005435663,PCZOHLXUXFIOCF-BXMDZJJMSA-N,O=C(O[C@@H]1[C@H]3C(=C/[C@H](C)C1)\C=C/[C@@H]([C@@H]3CC[C@H]2OC(=O)C[C@H](O)C2)C)[C@@H](C)CC,BGC0000089,lovastatin,PCZOHLXUXFIOCF-BXMDZJJMSA-N,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C
CCMSLIB00005435663,PCZOHLXUXFIOCF-BXMDZJJMSA-N,O=C(O[C@@H]1[C@H]3C(=C/[C@H](C)C1)\C=C/[C@@H]([C@@H]3CC[C@H]2OC(=O)C[C@H](O)C2)C)[C@@H](C)CC,BGC0000098,Monacolin K,PCZOHLXUXFIOCF-YPQFMRJXSA-N,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@H](C)CC
CCMSLIB00005435664,PCZOHLXUXFIOCF-BXMDZJJMSA-N,O=C(O[C@@H]1[C@H]3C(=C/[C@H](C)C1)\C=C/[C@@H]([C@@H]3CC[C@H]2OC(=O)C[C@H](O)C2)C)[C@@H](C)CC,BGC0000088,Monacolin K,PCZOHLXUXFIOCF-YPQFMRJXSA-N,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@H](C)CC
CCMSLIB00005435664,PCZOHLXUXFIOCF-BXMDZJJMSA-N,O=C(O[C@@H]1[C@H]3C(=C/[C@H](C)C1)\C=C/[C@@H]([C@@H]3CC[C@H]2OC(=O)C[C@H](O)C2)C)[C@@H](C)CC,BGC0000089,lovastatin,PCZOHLXUXFIOCF-BXMDZJJMSA-N,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C
CCMSLIB00005435664,PCZOHLXUXFIOCF-BXMDZJJMSA-N,O=C(O[C@@H]1[C@H]3C(=C/[C@H](C)C1)\C=C/[C@@H]([C@@H]3CC[C@H]2OC(=O)C[C@H](O)C2)C)[C@@H](C)CC,BGC0000098,Monacolin K,PCZOHLXUXFIOCF-YPQFMRJXSA-N,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@H](C)CC
CCMSLIB00005435666,PCZOHLXUXFIOCF-BXMDZJJMSA-N,O=C(O[C@@H]1[C@H]3C(=C/[C@H](C)C1)\C=C/[C@@H]([C@@H]3CC[C@H]2OC(=O)C[C@H](O)C2)C)[C@@H](C)CC,BGC0000088,Monacolin K,PCZOHLXUXFIOCF-YPQFMRJXSA-N,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@H](C)CC
CCMSLIB00005435666,PCZOHLXUXFIOCF-BXMDZJJMSA-N,O=C(O[C@@H]1[C@H]3C(=C/[C@H](C)C1)\C=C/[C@@H]([C@@H]3CC[C@H]2OC(=O)C[C@H](O)C2)C)[C@@H](C)CC,BGC0000089,lovastatin,PCZOHLXUXFIOCF-BXMDZJJMSA-N,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C
CCMSLIB00005435666,PCZOHLXUXFIOCF-BXMDZJJMSA-N,O=C(O[C@@H]1[C@H]3C(=C/[C@H](C)C1)\C=C/[C@@H]([C@@H]3CC[C@H]2OC(=O)C[C@H](O)C2)C)[C@@H](C)CC,BGC0000098,Monacolin K,PCZOHLXUXFIOCF-YPQFMRJXSA-N,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@H](C)CC
CCMSLIB00005435692,PCZOHLXUXFIOCF-BXMDZJJMSA-N,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,BGC0000088,Monacolin K,PCZOHLXUXFIOCF-YPQFMRJXSA-N,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@H](C)CC
CCMSLIB00005435692,PCZOHLXUXFIOCF-BXMDZJJMSA-N,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,BGC0000089,lovastatin,PCZOHLXUXFIOCF-BXMDZJJMSA-N,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C
CCMSLIB00005435692,PCZOHLXUXFIOCF-BXMDZJJMSA-N,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,BGC0000098,Monacolin K,PCZOHLXUXFIOCF-YPQFMRJXSA-N,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@H](C)CC
CCMSLIB00005435705,FOAIGCPESMNWQP-QJMNAQKNSA-N,CC[C@@H](C)/C=C/C(=O)N1C[C@H](C[C@H]1C(=O)N[C@@H](C[C@H](C)CC(CC(=O)CC)O)C(=O)N[C@@H]([C@@H](C(C)C)O)C(=O)NC(C)(C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NCCC(=O)N[C@@H](C)CN(C)C)C,BGC0001358,leucinostatin A,FOAIGCPESMNWQP-WCWDXBQESA-N,CCC(C)/C=C/C(=O)N1CC(CC1C(=O)NC(CC(C)CC(CC(=O)CC)O)C(=O)NC(C(C(C)C)O)C(=O)NC(C)(C)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NCCC(=O)NC(C)CN(C)C)C
CCMSLIB00005435706,JLDCSWRYRVBFRU-GHVJWSGMSA-N,CCC(C)/C=C/C(=O)N1CC(CC1C(=O)NC(CC(C)CC(CC(=O)CC)O)C(=O)NC(C(C(C)C)O)C(=O)NC(C)(C)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NCCC(=O)NC(C)CNC)C,BGC0001358,leucinostatin B,JLDCSWRYRVBFRU-GHVJWSGMSA-N,CCC(C)/C=C/C(=O)N1CC(CC1C(=O)NC(CC(C)CC(CC(=O)CC)O)C(=O)NC(C(C(C)C)O)C(=O)NC(C)(C)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NCCC(=O)NC(C)CNC)C
CCMSLIB00005435719,FOAIGCPESMNWQP-QJMNAQKNSA-N,CC[C@@H](C)/C=C/C(=O)N1C[C@H](C[C@H]1C(=O)N[C@@H](C[C@H](C)CC(CC(=O)CC)O)C(=O)N[C@@H]([C@@H](C(C)C)O)C(=O)NC(C)(C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NCCC(=O)N[C@@H](C)CN(C)C)C,BGC0001358,leucinostatin A,FOAIGCPESMNWQP-WCWDXBQESA-N,CCC(C)/C=C/C(=O)N1CC(CC1C(=O)NC(CC(C)CC(CC(=O)CC)O)C(=O)NC(C(C(C)C)O)C(=O)NC(C)(C)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NCCC(=O)NC(C)CN(C)C)C
CCMSLIB00005435720,JLDCSWRYRVBFRU-GVWIJYOFSA-N,CC[C@H](C)/C=C/C(=O)N1C[C@H](C[C@H]1C(=O)N[C@@H](C[C@H](C)CC(CC(=O)CC)O)C(=O)N[C@@H]([C@@H](C(C)C)O)C(=O)NC(C)(C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NCCC(=O)N[C@@H](C)CNC)C,BGC0001358,leucinostatin B,JLDCSWRYRVBFRU-GHVJWSGMSA-N,CCC(C)/C=C/C(=O)N1CC(CC1C(=O)NC(CC(C)CC(CC(=O)CC)O)C(=O)NC(C(C(C)C)O)C(=O)NC(C)(C)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NCCC(=O)NC(C)CNC)C
CCMSLIB00005435737,PCZOHLXUXFIOCF-BXMDZJJMSA-N,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,BGC0000088,Monacolin K,PCZOHLXUXFIOCF-YPQFMRJXSA-N,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@H](C)CC
CCMSLIB00005435737,PCZOHLXUXFIOCF-BXMDZJJMSA-N,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,BGC0000089,lovastatin,PCZOHLXUXFIOCF-BXMDZJJMSA-N,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C
