compound_name	class:subclass	as_classes	smiles	inchi_key	cf_kingdom	cf_superclass	cf_class	cf_subclass	cf_direct_parent	npc_class	npc_superclass	npc_pathway	npc_isglycoside
BGC0000120_patulin	Polyketide:Other	T1PKS	C1C=C2C(=CC(=O)O2)C(O1)O	ZRWPUFFVAOMMNM-UHFFFAOYSA-N	Organic compounds	Organoheterocyclic compounds	Pyrans		Pyrans	Miscellaneous polyketides	Miscellaneous polyketides	Polyketides	1
BGC0000121_RES-1214-2	Polyketide:	T1PKS	COC(=O)C1=CC(OC)=C(Cl)C(O)=C1OC1=C(C(O)=O)C(O)=CC(C)=C1	CAXGJVQIPWBEJY-UHFFFAOYSA-N	Organic compounds	Benzenoids	Benzene and substituted derivatives	Diphenylethers	Diphenylethers	Fungal DPEs	Diphenyl ethers (DPEs)	Polyketides	0
BGC0000122_phenylnannolone A	Polyketide:Aryl polyene	T1PKS,NRPS-like	CC\C(\C=C\C1=CC=CC(=O)O1)=C/C=C/C1=CC=CC=C1	RRPLGXJSBDXTJL-UHFFFAOYSA-N	Organic compounds	Benzenoids	Benzene and substituted derivatives	Styrenes	Styrenes	2-pyrone derivatives	Cyclic polyketides	Polyketides	0
BGC0000122_phenylnannolone B	Polyketide:Aryl polyene	T1PKS,NRPS-like	C\C(\C=C\C1=CC=CC(=O)O1)=C/C=C/C1=CC=CC=C1	JVWQBHWCFLLGBX-UHFFFAOYSA-N	Organic compounds	Benzenoids	Benzene and substituted derivatives	Styrenes	Styrenes	2-pyrone derivatives	Cyclic polyketides	Polyketides	0
BGC0000122_phenylnannolone C	Polyketide:Aryl polyene	T1PKS,NRPS-like	CC\C(\C=C\C1=CC=CC(=O)O1)=C/C=C/C1=CC=C(O)C=C1	LBDGYJHTIPQOAB-UHFFFAOYSA-N	Organic compounds	Benzenoids	Benzene and substituted derivatives	Styrenes	Styrenes	2-pyrone derivatives	Cyclic polyketides	Polyketides	0
BGC0000123_phoslactomycin B	Polyketide:	T1PKS	CC[C@H]1C=CC(=O)O[C@@H]1\C=C\C(O)(CCN)[C@@H](C[C@@H](O)\C=C/C=C\C1CCCCC1)OP(O)(O)=O	GAIPQMSJLNWRGC-UHFFFAOYSA-N	Organic compounds	Organoheterocyclic compounds	Pyrans	Pyranones and derivatives	Dihydropyranones	Phoslactomycins or Phosphazomycins	Linear polyketides	Polyketides	0
BGC0000124_piericidin A1	Polyketide:	T1PKS	COC1=C(OC)C(O)=C(C)C(C\C=C(/C)C\C=C\C(\C)=C\[C@@H](C)[C@@H](O)C(\C)=C\C)=N1	BBLGCDSLCDDALX-UHFFFAOYSA-N	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids	Sesquiterpenoids			Polyketides	0
BGC0000125_pimaricin	Polyketide:	T1PKS,NRPS-like	C[C@@H]1C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@@H]3[C@H](O3)/C=C/C(=O)O1)O)O)O)C(=O)O)O[C@H]4[C@H]([C@H]([C@@H]([C@H](O4)C)O)N)O	NCXMLFZGDNKEPB-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Aminoglycosides	Polyene macrolides	Macrolides	Polyketides	1
BGC0000126_pladienolide B	Polyketide:	T1PKS	CCC(O)C(C)C1OC1CC(C)\C=C\C=C(/C)C1OC(=O)CC(O)CCC(C)(O)C(OC(C)=O)\C=C\C1C	SDOUORKJIJYJNW-UHFFFAOYSA-N	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Terpene lactones	Diterpene lactones	Macrolide lactones	Macrolides	Polyketides	0
BGC0000127_pyoluteorin	Polyketide:	T1PKS	OC1=CC=CC(O)=C1C(=O)C1=CC(Cl)=C(Cl)N1	JPGWTZORMBTNMF-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Aryl-phenylketones	Pyrrole alkaloids	Proline alkaloids	Alkaloids	0
BGC0000128_pyoluteorin	Polyketide:	T1PKS	C1=CC(=C(C(=C1)O)C(=O)C2=CC(=C(N2)Cl)Cl)O	JPGWTZORMBTNMF-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Aryl-phenylketones	Pyrrole alkaloids	Proline alkaloids	Alkaloids	0
BGC0000129_pyripyropene A	Polyketide:	T1PKS	[H][C@@]12C[C@H](OC(C)=O)[C@@]3(C)OC4=C([C@H](O)[C@]3([H])[C@@]1(C)CC[C@H](OC(C)=O)[C@@]2(C)COC(C)=O)C(=O)OC(=C4)C1=CN=CC=C1	PMMQOFWSZRQWEV-UHFFFAOYSA-N	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Hydroxysteroids	1-hydroxysteroids	Triketide meroterpenoids	Meroterpenoids	Polyketides; Terpenoids	0
BGC0000130_pyrrolomycin A	Polyketide:	T1PKS	C1=C(C(=C(N1)Cl)Cl)[N+](=O)[O-]	CDHAYBUDIPNGGJ-UHFFFAOYSA-N	Organic compounds	Organic 1,3-dipolar compounds	Allyl-type 1,3-dipolar organic compounds	Organic nitro compounds	Nitroaromatic compounds	Pyrrole alkaloids	Proline alkaloids	Alkaloids	0
BGC0000130_pyrrolomycin B	Polyketide:	T1PKS	C1=C(C=C(C(=C1Cl)O)CC2=C(C(=C(N2)Cl)Cl)[N+](=O)[O-])Cl	ZIOBWQJYKHDNKP-UHFFFAOYSA-N	Organic compounds	Benzenoids	Benzene and substituted derivatives	Halobenzenes	Dichlorobenzenes	Pyrrole alkaloids	Proline alkaloids	Alkaloids	0
BGC0000130_pyrrolomycin C	Polyketide:	T1PKS	OC1=C(C=C(Cl)C=C1Cl)C(=O)C1=CC(Cl)=C(Cl)N1	WEZZHODHNYWVJY-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Aryl-phenylketones	Pyrrole alkaloids	Proline alkaloids	Alkaloids	0
BGC0000130_pyrrolomycin D	Polyketide:	T1PKS	C1=C(C=C(C(=C1Cl)O)C(=O)C2=C(C(=C(N2)Cl)Cl)Cl)Cl	IJODRMYZNYTFTC-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Aryl-phenylketones	Pyrrole alkaloids	Proline alkaloids	Alkaloids	0
BGC0000131_pyrrolomycin	Polyketide:		C1=C(C(=C(N1)Cl)Cl)[N+](=O)[O-]	CDHAYBUDIPNGGJ-UHFFFAOYSA-N	Organic compounds	Organic 1,3-dipolar compounds	Allyl-type 1,3-dipolar organic compounds	Organic nitro compounds	Nitroaromatic compounds	Pyrrole alkaloids	Proline alkaloids	Alkaloids	0
BGC0000132_pyrrolomycin	Polyketide:	T1PKS	C1=C(C(=C(N1)Cl)Cl)[N+](=O)[O-]	CDHAYBUDIPNGGJ-UHFFFAOYSA-N	Organic compounds	Organic 1,3-dipolar compounds	Allyl-type 1,3-dipolar organic compounds	Organic nitro compounds	Nitroaromatic compounds	Pyrrole alkaloids	Proline alkaloids	Alkaloids	0
BGC0000133_quartromicin A1	Polyketide:	T1PKS	CC1=CC=CC2(C)C=C(COC3OC(CO)C(O)C(O)C3O)C(C)CC23OC(O)C(C3=O)C(O)C=CC2(C)C=C(C=O)C(C)CC23OC(O)C(C3=O)C(O)C(C)=CC=CC2C=C(COC3OC(CO)C(O)C(O)C3O)C(C)CC23OC(O)C(C3=O)C(O)C=CC2(C)C=C(C=O)C(C)CC23OC(O)C(C3=O)C1O	FLUFBWHKKGTRPN-UHFFFAOYSA-N	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Spirotetronate macrolides	Macrolides	Polyketides	1
BGC0000134_radicicol	Polyketide:	T1PKS	CC1CC2OC2C=CC=CC(=O)CC2=C(C(O)=CC(O)=C2Cl)C(=O)O1	WYZWZEOGROVVHK-UHFFFAOYSA-N	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Hydroxybenzoic acid derivatives	Zearalenones	Macrolides	Polyketides	0
BGC0000135_reveromycin A	Polyketide:	T1PKS	CCCCC1(CCC2(CCC(C)C(CC=C(C)C=CC(O)C(C)C=CC(O)=O)O2)OC1C=CC(C)=CC(O)=O)OC(=O)CCC(O)=O	ZESGNAJSBDILTB-UHFFFAOYSA-N	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Terpene glycosides	Diterpene glycosides	Open-chain polyketides	Linear polyketides	Polyketides	0
BGC0000136_rifamycin	Polyketide:	T1PKS,NRPS-like	C[C@H]1/C=C/C=C(\C(=O)NC2=CC(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C	HJYYPODYNSCCOU-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Macrolactams		Macrolactams	Ansa macrolides	Macrolides	Polyketides	0
BGC0000137_rifamycin	Polyketide:	T1PKS,NRPS-like	C[C@H]1/C=C/C=C(\C(=O)NC2=CC(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C	HJYYPODYNSCCOU-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Macrolactams		Macrolactams	Ansa macrolides	Macrolides	Polyketides	0
BGC0000138_rimocidin	Polyketide:	T1PKS,NRPS-like	CCC[C@@H]1C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](CCCC(=O)C[C@H]([C@@H](C(=O)O1)CC)O)O)O)O)C(=O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O	AWGBZRVEGDNLDZ-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Aminoglycosides	Polyene macrolides	Macrolides	Polyketides	1
BGC0000140_4-hexadecanoyl-3-hydroxy-2-(hydroxymethyl)-2H-furan-5-one	Polyketide:	T1PKS	CCCCCCCCCCCCCCCC(=O)C1=C(O)C(CO)OC1=O	KZTSLHQKWLYYAC-UHFFFAOYSA-N	Organic compounds	Organoheterocyclic compounds	Dihydrofurans	Furanones	Butenolides	3-acyl tetramic acids	Linear polyketides	Amino acids and Peptides; Polyketides	0
BGC0000141_rubradirin	Polyketide:	T1PKS,NRPS-like,NRPS,other,aminocoumarin	CC1/C=C(/C(=O)C2=C3C(=CC(=C2O)C)C(=O)C4=C(C3=O)OC(CN4)(C(=O)C(C1OC(=O)C5=C(C(=CC(=N5)C(=O)NC6=C(OC7=C(C6=O)C=CC(=C7)OC)O)OC8CC(C(C(O8)C)OC)(C)[N+](=O)[O-])O)O)C)\C	HZJYMSYXRSCXPH-UHFFFAOYSA-N						Pyridine alkaloids	Nicotinic acid alkaloids	Alkaloids	1
BGC0000142_salinilactam	Polyketide:	T1PKS	CC1C\C=C\C=C\C=C(/C)\C=C\C=C\C=C\[C@H](O)C[C@H](O)C(O)[C@H](O)C(C)\C=C\C=C\C(=O)N1	INFZKNGDHJIHQW-UHFFFAOYSA-N	Organic compounds	Organic acids and derivatives	Carboximidic acids and derivatives	Carboximidic acids	Cyclic carboximidic acids	Macrolide lactams	Macrolides	Amino acids and Peptides; Polyketides	0
BGC0000143_salinomycin	Polyketide:	T1PKS	CCC(C1CCC(C)C(O1)C(C)C(O)C(C)C(=O)C(CC)C1OC2(OC3(CCC(C)(O3)C3CCC(O)(CC)C(C)O3)C(O)C=C2)C(C)CC1C)C(O)=O	KQXDHUJYNAXLNZ-UHFFFAOYSA-N	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Terpene glycosides	Diterpene glycosides	Polyether ionophores	Polyethers	Polyketides	0
BGC0000144_salinomycin	Polyketide:Polyether	T1PKS,NRPS,butyrolactone	CC[C@H]([C@@H]1[C@H](C[C@H]([C@@]2(O1)C=C[C@H]([C@]3(O2)CC[C@@](O3)(C)[C@H]4CC[C@@]([C@@H](O4)C)(CC)O)O)C)C)C(=O)[C@@H](C)[C@H]([C@H](C)[C@H]5[C@H](CCC(O5)[C@@H](CC)C(=O)O)C)O	KQXDHUJYNAXLNZ-UHFFFAOYSA-N	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Terpene glycosides	Diterpene glycosides	Polyether ionophores	Polyethers	Polyketides	0
BGC0000145_salinosporamide A	Polyketide:	T1PKS,NRPS	[H][C@](O)([C@@]1([H])CCCC=C1)[C@@]12NC(=O)[C@H](CCCl)[C@]1(C)OC2=O	NGWSFRIPKNWYAO-UHFFFAOYSA-N	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Alpha amino acids and derivatives	Salinosporamides	γ-lactam-β-lactones	Amino acids and Peptides	0
BGC0000146_solanapyrone D	Polyketide:	T1PKS	[H][C@@]12CCCC[C@@]1([H])[C@@H]([C@H](C)C=C2)C1=CC(OC)=C(C=O)C(=O)O1	AWQLNKJBXASXDU-UHFFFAOYSA-N	Organic compounds	Organoheterocyclic compounds	Pyrans	Pyranones and derivatives	Pyranones and derivatives	2-pyrone derivatives; Decalins with 2-pyrones	Cyclic polyketides	Polyketides	0
BGC0000147_soraphen A	Polyketide:	T1PKS	C[C@H]1/C=C/[C@H]([C@H](CCCC[C@H](OC(=O)[C@H]([C@@]2([C@@H]([C@H]([C@@H]([C@H]1O2)C)O)OC)O)C)C3=CC=CC=C3)OC)OC	WPMGNXPRKGXGBO-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Macrolides and analogues		Macrolides and analogues	Macrolide lactones	Macrolides	Polyketides	1
BGC0000148_A83543A	Polyketide:	T1PKS	[H][C@@]12C[C@H](C[C@@]1([H])[C@]1([H])C=C3C(=O)[C@H](C)[C@H](CCC[C@H](CC)OC(=O)C[C@@]3([H])[C@]1([H])C=C2)O[C@H]1CC[C@H](NCC)[C@@H](C)O1)O[C@@H]1O[C@@H](C)[C@H](OC)[C@@H](OC)[C@H]1OC	DHCFQHUYZYWKAC-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Aminoglycosides	Spirotetronate macrolides	Macrolides	Polyketides	1
BGC0000149_spirangien O	Polyketide:Other	T1PKS	[H][C@@]1(O[C@@]2(C[C@@H](OC)[C@@H](C)[C@]([H])(O2)[C@H](C)[C@@H](O)[C@@H](C)C\C(C)=C\C)[C@H](O)C[C@@H]1C)[C@@H](C)[C@@H](O)[C@@H](C)\C=C/C=C/C=C\C=C\C=C/[C@H](CC(O)=O)OC	AFMLAWKHRYYCHM-UHFFFAOYSA-N	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Long-chain fatty acids	Open-chain polyketides	Linear polyketides	Polyketides	0
BGC0000150_sporolide A	NRP:,Polyketide:Enediyine	T1PKS,NRPS	[H]C12OC11C(=O)C(C)=C3OC45C(O)C6=C(C(Cl)=C(C=C6)[C@@]([H])(O)COC(=O)[C@]1([H])OC)C4(OC23O)C([H])(O)CC5([H])O	KFIMJAYNUYNRLK-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Macrolides and analogues		Macrolides and analogues			Polyketides	0
BGC0000150_sporolide B	NRP:,Polyketide:Enediyine	T1PKS,NRPS	[H][C@@]12O[C@@]11[C@@H](OC)C(=O)OC[C@H](O)C3=CC(Cl)=C4[C@@H](O)[C@]56OC(=C(C)C1=O)[C@@]2(O)O[C@]5([C@H](O)C[C@H]6O)C4=C3	CYXHIOKLZVVCBQ-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Macrolides and analogues		Macrolides and analogues			Polyketides	0
BGC0000151_stambomycin A	Polyketide:Macrolide,Saccharide:hybrid/tailoring	T1PKS	O=C(OC(/C=C/C(O)CC(CCCC(C(C1O)C)O)O)C)CC2(O)OC(C[C@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]3O)C2C)C(C)C(O)/C(C)=C/C=C/CC(O)C(C)C(O)CCCC(O)CC(O)/C(C)=C/C(C(O)C(O)CCC(C)CC(O)CC(O)C(C)CC1)CCCC(CC)C	NPSHCJDYXPRAHR-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Aminoglycosides	Macrolide lactones	Macrolides	Polyketides	1
BGC0000151_stambomycin B	Polyketide:Macrolide,Saccharide:hybrid/tailoring	T1PKS	O=C(OC(/C=C/C(O)CC(CCCC(C(C1O)C)O)O)C)CC2(O)OC(C[C@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]3O)C2C)C(C)C(O)/C(C)=C/C=C/CC(O)C(C)C(O)CCCC(O)CC(O)/C(C)=C/C(C(O)C(O)CCC(C)CC(O)CC(O)C(C)CC1)CCCCC(C)C	JZFPQWDFMPNUFU-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Aminoglycosides	Macrolide lactones	Macrolides	Polyketides	1
BGC0000151_stambomycin C	Polyketide:Macrolide,Saccharide:hybrid/tailoring	T1PKS	O=C(OC(/C=C/C(O)CC(CCCC(C(C1O)C)O)O)C)CC2(O)OC(C[C@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]3O)C2C)C(C)C(O)/C(C)=C/C=C/CC(O)C(C)C(O)CCCC(O)CC(O)/C(C)=C/C(C(O)C(O)CCC(C)CC(O)CC(O)C(C)CC1)CCCC(C)C	HNCRYQHQHRDJJG-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Aminoglycosides	Oligomycins	Macrolides	Polyketides	1
BGC0000151_stambomycin D	Polyketide:Macrolide,Saccharide:hybrid/tailoring	T1PKS	O=C(OC(/C=C/C(O)CC(CCCC(C(C1O)C)O)O)C)CC2(O)OC(C[C@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]3O)C2C)C(C)C(O)/C(C)=C/C=C/CC(O)C(C)C(O)CCCC(O)CC(O)/C(C)=C/C(C(O)C(O)CCC(C)CC(O)CC(O)C(C)CC1)CCCCCC	DMSBTPUGEMEZFO-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Aminoglycosides		Macrolides	Polyketides	1
BGC0000152_sterigmatocystin	Polyketide:	T1PKS	COC1=C2C(=C3[C@@H]4C=CO[C@@H]4OC3=C1)OC5=C(C2=O)C(=CC=C5)O	UTSVPXMQSFGQTM-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Sterigmatocystins		Sterigmatocystins	Aflatoxins; Methyl xanthones	Chromanes; Xanthones	Polyketides	0
BGC0000153_stigmatellin	NRP:,Polyketide:Other	T1PKS	COC(\C=C\C=C\C(\C)=C\C)C(C)C(OC)C(C)CCC1=C(C)C(=O)C2=C(OC)C=C(OC)C(O)=C2O1	UZHDGDDPOPDJGM-UHFFFAOYSA-N	Organic compounds	Organoheterocyclic compounds	Benzopyrans	1-benzopyrans	Chromones	Chromones	Chromanes	Polyketides	0
BGC0000154_stipitatic acid	Polyketide:Other	T1PKS	C1=C(C=C(C(=CC1=O)O)O)C(=O)O	ZGKNMKBZOSTFCB-UHFFFAOYSA-N	Organic compounds	Hydrocarbon derivatives	Tropones		Tropones	Simple phenolic acids	Phenolic acids (C6-C1)	Shikimates and Phenylpropanoids	0
BGC0000156_1-(2,3,5,10-tetrahydroxy-7-methoxy-4-oxo-1,2,3,4-tetrahydroanthracen-2-yl)pentane-2,4-dione	Polyketide:Tetracycline	T1PKS	O=C1C2=C(O)C3=C(O)C=C(OC)C=C3C=C2CC(CC(CC(C)=O)=O)(O)C1O	LGXYFQMVMASRAI-UHFFFAOYSA-N						Anthraquinones and anthrones	Polycyclic aromatic polyketides	Polyketides	0
BGC0000156_TAN-1612	Polyketide:Tetracycline	T1PKS	CC(=O)C1=C(C2(C(=O)C3=C(CC2(CC1=O)O)C=C4C=C(C=C(C4=C3O)O)OC)O)O	GEIAHRUFSQGALU-UHFFFAOYSA-N	Organic compounds	Benzenoids	Naphthalenes	Naphthols and derivatives	Naphthols and derivatives	Tetracyclines	Polycyclic aromatic polyketides	Polyketides	0
BGC0000156_desmethyl TAN-1612	Polyketide:Tetracycline	T1PKS	O=C1C2=C(O)C3=C(O)C=C(O)C=C3C=C2CC4(O)C1(O)C(C(C(C)=O)=C(O)C4)=O	QUQTYIYOYNVOJS-UHFFFAOYSA-N	Organic compounds	Benzenoids	Naphthalenes	Naphthols and derivatives	Naphthols and derivatives	Tetracyclines	Polycyclic aromatic polyketides	Polyketides	0
BGC0000157_tautomycetin	Polyketide:	T1PKS	CC\C(C=C)=C/C(=O)CC(C)CC(C)CCC(O)C(C)C(=O)CC(O)C(C)C(C)OC(=O)C[C@@H](O)C1=C(C)C(=O)OC1=O	VAIBGAONSFVVKI-UHFFFAOYSA-N	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids	Sesquiterpenoids	Open-chain polyketides	Linear polyketides	Polyketides	0
BGC0000158_tautomycetin	Polyketide:Other	T1PKS	CC/C(=C\C(=O)C[C@H](C)C[C@@H](C)CC[C@@H]([C@H](C)C(=O)C[C@H]([C@H](C)[C@@H](C)OC(=O)C[C@H](C1=C(C(=O)OC1=O)C)O)O)O)/C=C	VAIBGAONSFVVKI-UHFFFAOYSA-N	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids	Sesquiterpenoids	Open-chain polyketides	Linear polyketides	Polyketides	0
BGC0000159_tautomycin	Polyketide:Other	T1PKS	C[C@@H]1CC[C@@]2(CC[C@@H]([C@@H](O2)[C@H](C)CC[C@@H]([C@H](C)C(=O)C[C@H]([C@@H]([C@@H](C(C)C)OC(=O)C[C@H](C3=C(C(=O)OC3=O)C)O)OC)O)O)C)O[C@H]1CC[C@H](C)C(=O)C	RFCWHQNNCOJYTR-UHFFFAOYSA-N	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty alcohol esters	Fatty alcohol esters	Open-chain polyketides	Linear polyketides	Polyketides	0
BGC0000160_terreic acid	Polyketide:	T1PKS	[H][C@]12O[C@@]1([H])C(=O)C(O)=C(C)C2=O	ATFNSNUJZOYXFC-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Cyclohexenones			Polyketides	0
BGC0000161_isoterrein	Polyketide:Other	T1PKS	C\C=C\C1=CC(=O)[C@@H](O)[C@H]1O	MHOOPNKRBMHHEC-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	1,2-diols	Miscellaneous polyketides	Miscellaneous polyketides	Polyketides	0
BGC0000162_tetrocarcin A	Polyketide:	other,T1PKS	C[C@H]1C[C@@H]([C@@H]([C@@H]2[C@@H]1[C@]3([C@@H](C=C2)/C(=C\C[C@@H](/C(=C/[C@@H]4[C@H](C=C(CC45C(=O)C(=C(O5)O)C3=O)C=O)O)/C)O[C@H]6C[C@]([C@H]([C@H](O6)C)NC(=O)OC)(C)[N+](=O)[O-])/C)C)O)C	WSTRDWSKWNQIIM-UHFFFAOYSA-N	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Sesterterpenoids	Sesterterpenoids	Spirotetronate macrolides	Macrolides	Polyketides	1
BGC0000163_tetronasin	Polyketide:	T1PKS	C[C@@H]1CCC[C@@H]([C@H]1[C@H](C)/C(=C\2/C(=O)COC2=O)/O)/C=C(\CO)/[C@H]3[C@@H](CC[C@H](O3)/C=C/[C@H](C)[C@H]4[C@H](C[C@@H](O4)[C@H](C)OC)C)C	XZJAKURZQBNKKX-UHFFFAOYSA-N	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Terpene glycosides	Terpene glycosides	Polyether ionophores	Polyethers	Polyketides	0
BGC0000164_tetronomycin	Polyketide:	T1PKS	C[C@H]1CCC[C@H]([C@@H]1[C@@H](C)C(=O)C2=C(C(=C)OC2=O)[O-])/C=C(\CO)/[C@@H]3[C@H](CC[C@@H](O3)/C=C/C[C@@H]4CC[C@H](O4)[C@@H](C)OC)C.[Na+]	PYNSBUJNGRHFPI-UHFFFAOYSA-M	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Terpene glycosides	Terpene glycosides	Linear tetronates; Polyether ionophores	Polyethers; Linear polyketides	Polyketides	0
BGC0000165_tiacumicin B	Polyketide:Macrolide	T1PKS,PKS-like	[H][C@]1(C\C=C(/C)\C=C(C)\[C@]([H])(O[C@@H]2OC(C)(C)[C@@H](OC(=O)C(C)C)[C@H](O)[C@@H]2O)[C@@H](CC)\C=C(C)\[C@@H](O)C\C=C\C=C(CO[C@@H]2O[C@H](C)[C@@H](OC(=O)C3=C(O)C(Cl)=C(O)C(Cl)=C3CC)[C@H](O)[C@@H]2OC)\C(=O)O1)[C@@H](C)O	ZVGNESXIJDCBKN-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Macrolides and analogues		Macrolides and analogues	Ansa macrolides	Macrolides	Polyketides	1
BGC0000166_tylactone	Polyketide:	T1PKS	CC[C@@H]1C[C@H](C(=O)/C=C/C(=C/[C@H]([C@H](OC(=O)C[C@H]([C@H]([C@H]1O)C)O)CC)C)/C)C	YJSXTLYNFBFHAT-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Macrolides and analogues		Macrolides and analogues	Tylosins	Macrolides	Polyketides	0
BGC0000167_vicenistatin	Polyketide:	T1PKS	CN[C@H]1[C@@H](O)C[C@H](OC2C\C=C(C)\C\C(C)=C\C=C\CCC(C)CNC(=O)\C=C\C=C\C2C)O[C@@H]1C	FINGADBUNZWVLV-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Aminoglycosides	Macrolide lactams	Macrolides	Amino acids and Peptides; Polyketides	1
BGC0000168_5-hydroxyanthrotainin	Polyketide:Tetracycline	T1PKS,indole	OC1=C(C(O)=C(C([C@@](C(C(C(N)=O)=C(O)C2)=O)(O)[C@@]2(O)[C@H]3O)=O)C3=C4)C4=CC(OC)=C1	VAJSPRHHGMWTDK-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Tetracyclines		Tetracyclines	Tetracyclines	Polycyclic aromatic polyketides	Polyketides	0
BGC0000168_8-O-desmethylanthrotainin	Polyketide:Tetracycline	T1PKS,indole	OC1=C(C(O)=C(C([C@@](C(C(C(N)=O)=C(O)C2)=O)(O)[C@@]2(O)C3)=O)C3=C4)C4=CC(O)=C1	HVDQGXCRCGWKFN-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Tetracyclines		Tetracyclines	Tetracyclines	Polycyclic aromatic polyketides	Polyketides	0
BGC0000168_previridicatumtoxin	Polyketide:Tetracycline	T1PKS,indole	OC1=C(C(O)=C(C([C@@](C(C(C(N)=O)=C(O)C2)=O)(O)[C@@]2(O)[C@H]3O)=O)C3=C4C/C=C(C)/CC/C=C(C)/C)C4=CC(OC)=C1	KQHILJSZLCTZEG-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Tetracyclines		Tetracyclines	Tetracyclines	Polycyclic aromatic polyketides	Polyketides	0
